,Question,Answer,Category,Article,Topic
61,"What action did the United Nations General Assembly take regarding the Zaporizhzhia nuclear power plant? 
a) They passed a resolution supporting Russia's control.
b) They demanded Russia withdraw and return the plant to Ukraine.
c) They sent peacekeeping forces to the plant.
d) They called for joint control by Russia and Ukraine.",B,Event-based Questions,"The United Nations General Assembly has passed a resolution demanding Russia withdraw its military and personnel from the Zaporizhzhia nuclear power plant, the largest nuclear facility in Europe, and return control of it to Ukraine.


The air force said in a statement that Russia's main target was the town of Starokostiantyniv, a major Ukrainian air base and a frequent target of Moscow's strikes.


Meanwhile, the Ukrainian air force said it shot down all five Kh-101 cruise missiles and 11 of 19 drones launched by Russia overnight.


Here are the latest developments from Russia's war in Ukraine on Friday, July 12:",Russio-Ukraine
62,"Which location has been identified as a significant target due to its air base being frequently attacked by Moscow? 
a) Kyiv 
b) Starokostiantyniv 
c) Zaporizhzhia 
d) Odessa",b,Location-based Questions,"The United Nations General Assembly has passed a resolution demanding Russia withdraw its military and personnel from the Zaporizhzhia nuclear power plant, the largest nuclear facility in Europe, and return control of it to Ukraine.


The air force said in a statement that Russia's main target was the town of Starokostiantyniv, a major Ukrainian air base and a frequent target of Moscow's strikes.


Meanwhile, the Ukrainian air force said it shot down all five Kh-101 cruise missiles and 11 of 19 drones launched by Russia overnight.


Here are the latest developments from Russia's war in Ukraine on Friday, July 12:",Russio-Ukraine
63,"What action has the United Nations General Assembly requested in regards to the Zaporizhzhia nuclear power plant? 
a) Cease operations at the plant 
b) Return control of the plant to Ukraine 
c) Increase security at the plant 
d) Share control between Russia and Ukraine",B,Causal Questions,"The United Nations General Assembly has passed a resolution demanding Russia withdraw its military and personnel from the Zaporizhzhia nuclear power plant, the largest nuclear facility in Europe, and return control of it to Ukraine.


The air force said in a statement that Russia's main target was the town of Starokostiantyniv, a major Ukrainian air base and a frequent target of Moscow's strikes.


Meanwhile, the Ukrainian air force said it shot down all five Kh-101 cruise missiles and 11 of 19 drones launched by Russia overnight.


Here are the latest developments from Russia's war in Ukraine on Friday, July 12:",Russio-Ukraine
64,"Which entity has called for the withdrawal of Russian military forces from the Zaporizhzhia nuclear power plant? 
a) European Union 
b) United Nations General Assembly 
c) NATO 
d) United States Congress",b,People/Actor-based Questions,"The United Nations General Assembly has passed a resolution demanding Russia withdraw its military and personnel from the Zaporizhzhia nuclear power plant, the largest nuclear facility in Europe, and return control of it to Ukraine.


The air force said in a statement that Russia's main target was the town of Starokostiantyniv, a major Ukrainian air base and a frequent target of Moscow's strikes.


Meanwhile, the Ukrainian air force said it shot down all five Kh-101 cruise missiles and 11 of 19 drones launched by Russia overnight.


Here are the latest developments from Russia's war in Ukraine on Friday, July 12:",Russio-Ukraine
65,"Which high-level Russian official was accused of accepting large bribes and committing fraud, highlighting severe corruption within the Ministry of Defense?
a) Dmitry Peskov
b) Andrei Belousov
c) Ivanov
d) Kirill Shamiev",c,Event-based Questions,"Russia’s war in Ukraine has turned out to be a powerful anti-corruption initiative — at least at the Ministry of Defense.
he exhorted a board of the Interior Ministry to step up the fight against corruption, which he said was “poisoning our society” and “stealing the money we need for the defense of the country.”

Advertisement

High-level corruption was intrinsic to Russia and was used as a means of political control, said Kirill Shamiev, a military analyst with the European Council on Foreign Relations, who wrote a report analyzing failures in repeated efforts to reform Russia’s military.
Ivanov has partied with Kremlin spokesman Dmitry Peskov and other elite Russians, built luxury homes stuffed with rare antiques, and enjoyed annual summer vacations in St. Tropez with his family, where he allegedly spent nearly $1.4 million from 2013 to 2018 on luxury villas, yachts and a Rolls-Royce — details that were revealed in reports by the Anti-Corruption Foundation founded by the late Russian opposition leader Alexei Navalny.


In Shoigu’s place, Putin appointed a former economy minister, Andrei Belousov, with a mandate to use the country’s growing defense budget “sparingly yet effectively.”

Advertisement

More dramatically, however, five top officials including a deputy defense minister have been arrested since April as the Kremlin sends a sharp message that neither excess nor disloyalty will be tolerated in wartime.


Ivanov, head of military construction group Oboronstroi from 2013 until 2016 and then deputy minister of defense, has been accused of taking especially large bribes and of fraud.",Russio-Ukraine
66,"Where did Ivanov reportedly spend large sums of money on luxury items such as villas, yachts, and cars? 
a) Moscow 
b) St. Tropez 
c) Paris 
d) London",b,Location-based Questions,"Russia’s war in Ukraine has turned out to be a powerful anti-corruption initiative — at least at the Ministry of Defense.
he exhorted a board of the Interior Ministry to step up the fight against corruption, which he said was “poisoning our society” and “stealing the money we need for the defense of the country.”

Advertisement

High-level corruption was intrinsic to Russia and was used as a means of political control, said Kirill Shamiev, a military analyst with the European Council on Foreign Relations, who wrote a report analyzing failures in repeated efforts to reform Russia’s military.
Ivanov has partied with Kremlin spokesman Dmitry Peskov and other elite Russians, built luxury homes stuffed with rare antiques, and enjoyed annual summer vacations in St. Tropez with his family, where he allegedly spent nearly $1.4 million from 2013 to 2018 on luxury villas, yachts and a Rolls-Royce — details that were revealed in reports by the Anti-Corruption Foundation founded by the late Russian opposition leader Alexei Navalny.


In Shoigu’s place, Putin appointed a former economy minister, Andrei Belousov, with a mandate to use the country’s growing defense budget “sparingly yet effectively.”

Advertisement

More dramatically, however, five top officials including a deputy defense minister have been arrested since April as the Kremlin sends a sharp message that neither excess nor disloyalty will be tolerated in wartime.


Ivanov, head of military construction group Oboronstroi from 2013 until 2016 and then deputy minister of defense, has been accused of taking especially large bribes and of fraud.",Russio-Ukraine
67,"Who was appointed by Putin as the new leader with the task to manage the defense budget effectively? 
a) Kirill Shamiev
b) Andrei Belousov
c) Dmitry Peskov
d) Alexei Navalny",b,People/Actor-based Questions,"Russia’s war in Ukraine has turned out to be a powerful anti-corruption initiative — at least at the Ministry of Defense.
he exhorted a board of the Interior Ministry to step up the fight against corruption, which he said was “poisoning our society” and “stealing the money we need for the defense of the country.”

Advertisement

High-level corruption was intrinsic to Russia and was used as a means of political control, said Kirill Shamiev, a military analyst with the European Council on Foreign Relations, who wrote a report analyzing failures in repeated efforts to reform Russia’s military.
Ivanov has partied with Kremlin spokesman Dmitry Peskov and other elite Russians, built luxury homes stuffed with rare antiques, and enjoyed annual summer vacations in St. Tropez with his family, where he allegedly spent nearly $1.4 million from 2013 to 2018 on luxury villas, yachts and a Rolls-Royce — details that were revealed in reports by the Anti-Corruption Foundation founded by the late Russian opposition leader Alexei Navalny.


In Shoigu’s place, Putin appointed a former economy minister, Andrei Belousov, with a mandate to use the country’s growing defense budget “sparingly yet effectively.”

Advertisement

More dramatically, however, five top officials including a deputy defense minister have been arrested since April as the Kremlin sends a sharp message that neither excess nor disloyalty will be tolerated in wartime.


Ivanov, head of military construction group Oboronstroi from 2013 until 2016 and then deputy minister of defense, has been accused of taking especially large bribes and of fraud.",Russio-Ukraine
68,"What compelled some foreigners to join the Russian forces against Ukraine? 
a) Legal threats
b) Cultural ties
c) Economic incentives
d) Educational opportunities",c,Causal Questions,"Russia is recruiting citizens from countries of the global South to fight in the war against Ukraine.
Men held in the prisoner-of-war camp in Ukraine spoke to DW on condition of anonymity Image: Hanna Sokolova-Stekh/DW

Yatsenko told DW that some of the foreigners fighting for Russia were professionals who have ""military experience and know perfectly well where they are going.
These individuals were reportedly told that their visas would no longer be renewed if they refused to serve.

'A lot of money' to serve in the army

In July, DW was also able to interview a 35-year-old man from Nepal, on condition of anonymity, who is being held in a prisoner of war (POW) camp in western Ukraine.
A butcher's, a restaurant, then the army

The young man told DW he decided to get a work visa for Russia through a job agency ""because of the poor economic situation in Sri Lanka.
Most of the prisoners of war in this camp in western Ukraine are Russian, but some are foreign mercenaries Image: Hanna Sokolowa-Stech/DW

After a two-month deployment in the hinterland, he was sent to the outskirts of the Russian-occupied Ukrainian city of Donetsk.

",Russio-Ukraine
69,"Which of the following statements best describes the reason for Nepali individuals joining Russia's war efforts, according to the article? 
a) They have always supported Russian political agendas. 
b) They received high remuneration promises for joining the army. 
c) They were escaping persecution in Nepal.
d) They had personal vendettas against Ukraine.",b,Comparative Questions,"Russia is recruiting citizens from countries of the global South to fight in the war against Ukraine.
Men held in the prisoner-of-war camp in Ukraine spoke to DW on condition of anonymity Image: Hanna Sokolova-Stekh/DW

Yatsenko told DW that some of the foreigners fighting for Russia were professionals who have ""military experience and know perfectly well where they are going.
These individuals were reportedly told that their visas would no longer be renewed if they refused to serve.

'A lot of money' to serve in the army

In July, DW was also able to interview a 35-year-old man from Nepal, on condition of anonymity, who is being held in a prisoner of war (POW) camp in western Ukraine.
A butcher's, a restaurant, then the army

The young man told DW he decided to get a work visa for Russia through a job agency ""because of the poor economic situation in Sri Lanka.
Most of the prisoners of war in this camp in western Ukraine are Russian, but some are foreign mercenaries Image: Hanna Sokolowa-Stech/DW

After a two-month deployment in the hinterland, he was sent to the outskirts of the Russian-occupied Ukrainian city of Donetsk.

",Russio-Ukraine
70,"What action did Indian Prime Minister Modi propose to Ukrainian President Zelensky to help resolve the Ukraine conflict? 
a) Increase military aid to Ukraine 
b) Impose sanctions on Russia 
c) Engage in direct talks with Russia 
d) Cut off oil purchases from Russia",c,Event-based Questions,"A month after Indian Prime Minister Narendra Modi made a controversial trip to Moscow, he urged Ukrainian President Volodymyr Zelensky in a meeting in Kyiv on Friday to hold direct talks with Russia on ending the Ukraine war.
On X, Zelensky noted that he and Modi had ""honored the memory of the children whose lives were taken by Russian aggression.""
  At the time, Zelensky had said it was ""a huge disappointment and a devastating blow to peace efforts to see the leader of the world's largest democracy hug the world's most bloody criminal in Moscow on such a day.""
  Since the full-blown war erupted in February 2022, Ukrainian officials have urged India to condemn the Russian invasion of Ukraine and take a stronger stand against Russia, a longtime partner of India.
""We will find out.""
  S. Jaishankar, India's top diplomat, described Friday's meeting as a constructive, ""very back and forth discussion,"" and told reporters that Modi explained to Zelensky India's thinking on its continued purchases of Russian oil.
Zelensky had criticized Modi's visit to Moscow on July 8, which produced images of the Indian leader warmly embracing Russian President Vladimir Putin just hours after a Russian missile attack on a children's hospital in Kyiv killed dozens of people.
  
""I would want all of us to see the sun of peace rise at the earliest.""
  Modi noted that he and Zelensky had paid homage to children killed in the conflict, in an oblique reference to the Russian missile attack that coincided with his Moscow visit.",Russio-Ukraine
71,"In which city did Indian Prime Minister Narendra Modi meet Ukrainian President Volodymyr Zelensky to discuss direct talks with Russia?
 a) Moscow
 b) Mumbai
 c) Kyiv
 d) Kiev",C,Location-based Questions,"A month after Indian Prime Minister Narendra Modi made a controversial trip to Moscow, he urged Ukrainian President Volodymyr Zelensky in a meeting in Kyiv on Friday to hold direct talks with Russia on ending the Ukraine war.
On X, Zelensky noted that he and Modi had ""honored the memory of the children whose lives were taken by Russian aggression.""
  At the time, Zelensky had said it was ""a huge disappointment and a devastating blow to peace efforts to see the leader of the world's largest democracy hug the world's most bloody criminal in Moscow on such a day.""
  Since the full-blown war erupted in February 2022, Ukrainian officials have urged India to condemn the Russian invasion of Ukraine and take a stronger stand against Russia, a longtime partner of India.
""We will find out.""
  S. Jaishankar, India's top diplomat, described Friday's meeting as a constructive, ""very back and forth discussion,"" and told reporters that Modi explained to Zelensky India's thinking on its continued purchases of Russian oil.
Zelensky had criticized Modi's visit to Moscow on July 8, which produced images of the Indian leader warmly embracing Russian President Vladimir Putin just hours after a Russian missile attack on a children's hospital in Kyiv killed dozens of people.
  
""I would want all of us to see the sun of peace rise at the earliest.""
  Modi noted that he and Zelensky had paid homage to children killed in the conflict, in an oblique reference to the Russian missile attack that coincided with his Moscow visit.",Russio-Ukraine
72,"When did the meeting between Indian Prime Minister Narendra Modi and Ukrainian President Volodymyr Zelensky in Kyiv take place? 
a) March 2022
b) August 2023
c) July 2023
d) February 2022",b,Temporal Questions,"A month after Indian Prime Minister Narendra Modi made a controversial trip to Moscow, he urged Ukrainian President Volodymyr Zelensky in a meeting in Kyiv on Friday to hold direct talks with Russia on ending the Ukraine war.
On X, Zelensky noted that he and Modi had ""honored the memory of the children whose lives were taken by Russian aggression.""
  At the time, Zelensky had said it was ""a huge disappointment and a devastating blow to peace efforts to see the leader of the world's largest democracy hug the world's most bloody criminal in Moscow on such a day.""
  Since the full-blown war erupted in February 2022, Ukrainian officials have urged India to condemn the Russian invasion of Ukraine and take a stronger stand against Russia, a longtime partner of India.
""We will find out.""
  S. Jaishankar, India's top diplomat, described Friday's meeting as a constructive, ""very back and forth discussion,"" and told reporters that Modi explained to Zelensky India's thinking on its continued purchases of Russian oil.
Zelensky had criticized Modi's visit to Moscow on July 8, which produced images of the Indian leader warmly embracing Russian President Vladimir Putin just hours after a Russian missile attack on a children's hospital in Kyiv killed dozens of people.
  
""I would want all of us to see the sun of peace rise at the earliest.""
  Modi noted that he and Zelensky had paid homage to children killed in the conflict, in an oblique reference to the Russian missile attack that coincided with his Moscow visit.",Russio-Ukraine
73,"How did Ukrainian President Zelensky perceive Indian Prime Minister Modi's visit to Russia? 
a) As a stepping stone towards peace
b) As an act supporting Russian aggression
c) As an opportunity for diplomatic engagement
d) As a neutral diplomatic gesture",b,Comparative Questions,"A month after Indian Prime Minister Narendra Modi made a controversial trip to Moscow, he urged Ukrainian President Volodymyr Zelensky in a meeting in Kyiv on Friday to hold direct talks with Russia on ending the Ukraine war.
On X, Zelensky noted that he and Modi had ""honored the memory of the children whose lives were taken by Russian aggression.""
  At the time, Zelensky had said it was ""a huge disappointment and a devastating blow to peace efforts to see the leader of the world's largest democracy hug the world's most bloody criminal in Moscow on such a day.""
  Since the full-blown war erupted in February 2022, Ukrainian officials have urged India to condemn the Russian invasion of Ukraine and take a stronger stand against Russia, a longtime partner of India.
""We will find out.""
  S. Jaishankar, India's top diplomat, described Friday's meeting as a constructive, ""very back and forth discussion,"" and told reporters that Modi explained to Zelensky India's thinking on its continued purchases of Russian oil.
Zelensky had criticized Modi's visit to Moscow on July 8, which produced images of the Indian leader warmly embracing Russian President Vladimir Putin just hours after a Russian missile attack on a children's hospital in Kyiv killed dozens of people.
  
""I would want all of us to see the sun of peace rise at the earliest.""
  Modi noted that he and Zelensky had paid homage to children killed in the conflict, in an oblique reference to the Russian missile attack that coincided with his Moscow visit.",Russio-Ukraine
74,"What military support did France recently demonstrate? 
a) Testing a new naval vessel
b) Launching a satellite into space
c) Unveiling a new tank model 
d) Test firing a new nuclear-capable missile",D,Event-based Questions,"France has carried out its first test firing of an updated nuclear-capable missile, the ASMPA-R, designed to be launched by a Rafale fighter jet, according to the French defence minister, Sebastien Lecornu.
“Lethal aid is now flowing from China to Russia and into Ukraine,” Grant Shapps, the British defence secretary, told a London conference on Wednesday.
“Today I can reveal that we have evidence that Russia and China are collaborating on combat equipment for use in Ukraine,” he said, attributing the information to “US and British defence intelligence”.
Ukraine has equipped some of its naval drones with Grad multiple rocket launching systems and used them to fire at Russian positions in combat, a Ukrainian intelligence source has told Reuters.
Russia said there were Ukrainian attacks on its Belgorod region across the border from Ukraine, and in the occupied eastern Ukrainian city of Lysychansk, killing up to three people.",Russio-Ukraine
75,"When did France conduct its first test launch of the updated ASMPA-R missile? 
a) January 2022 
b) February 2023 
c) November 2023 
d) July 2021",C,Temporal Questions,"France has carried out its first test firing of an updated nuclear-capable missile, the ASMPA-R, designed to be launched by a Rafale fighter jet, according to the French defence minister, Sebastien Lecornu.
“Lethal aid is now flowing from China to Russia and into Ukraine,” Grant Shapps, the British defence secretary, told a London conference on Wednesday.
“Today I can reveal that we have evidence that Russia and China are collaborating on combat equipment for use in Ukraine,” he said, attributing the information to “US and British defence intelligence”.
Ukraine has equipped some of its naval drones with Grad multiple rocket launching systems and used them to fire at Russian positions in combat, a Ukrainian intelligence source has told Reuters.
Russia said there were Ukrainian attacks on its Belgorod region across the border from Ukraine, and in the occupied eastern Ukrainian city of Lysychansk, killing up to three people.",Russio-Ukraine
76,"What was the impact of the overnight Russian strike in Ukraine's Sumy region? 
a) A hospital was damaged and many were injured.
b) An energy facility was damaged and water was cut off.
c) A government building was destroyed.
d) No significant impact was reported.",B,Procedural Questions,"An energy facility in northeastern Ukraine's Sumy region has been damaged in an overnight Russian strike and water has been cut.
There were no immediate reports of casualties.


The report could not be independently verified.


Some 100,000 people were left without power after a Russian drone strike hit an energy facility in the northeastern Sumy region, Ukrainian authorities said on Saturday.


Ukraine's war is a battle for trillions in resources To view this video please enable JavaScript, and consider upgrading to a web browser that supports HTML5 video

Russia takes Donetsk village

Also on Saturday, Russia's Defense Ministry said its forces had captured the village of Sokil in the eastern Donetsk region.

",Russio-Ukraine
77,"Who witnessed a missile attack that led to their injury in Chernihiv? 
a) Daniel Bazyl 
b) Angelina Prudkaya 
c) Lera Vasilenko 
d) No one",C,Causal Questions,"At 12 years old, Lera is learning to walk again.
“And that would be really cool.”
  Angelina Prudkaya, 8, in Kharkiv, north-eastern Ukraine
  Eight-year-old Angelina is still in the city, living in the middle of a bomb site.
  
Daniel Bazyl, 12, in Ivano-Frankivsk, western Ukraine
  Daniel's greatest fear is to experience a loss, like Lera.
  
Like Lera and Daniel, Angelina is adapting to this war as best she can.
  
Lera Vasilenko, 12, in Chernihiv, northern Ukraine
  Lera saw the missile that hurt her seconds before it hit.
  ",Russio-Ukraine
78,"What is the primary message propagated by the Russian state media about the conflict in Ukraine? 
a) Russia is supporting a peaceful transition in Ukraine
b) Russia is conducting a defensive operation, not an invasion
c) Russia is involved in peace talks with Ukraine
d) Russia is withdrawing its forces from Ukraine",b,Event-based Questions,"'Russia now is like 1984': Inside a Russian dystopian library

Just now Steve Rosenberg , Russia Editor, in Ivanovo Share

BBC Russian propaganda tells people the country is marching on to economic and military success

If the billboards in Ivanovo are to be believed, Russia’s really going places.


Alexandra Karaseva thinks Orwell's novel is now the reality in Russia

It was a local businessman, Dmitry Silin, who opened the library two years ago.
“I’ve met people who are hooked on TV and believe that Russia isn’t at war with Ukraine, and that the West was always out to destroy Russia,” Alexandra says.
From morning till night, the state media here claims that Russia’s war in Ukraine is not an invasion, but a defensive operation; that Russian soldiers are not occupiers, but liberators; that the West is waging war on Russia, when, in reality, it was the Kremlin that ordered the full-scale invasion of Ukraine.
“The situation now in Russia is similar to Nineteen Eighty-Four,” librarian Alexandra Karaseva tells me.",Russio-Ukraine
79,"What is the main purpose of Russian state media as per librarian Alexandra Karaseva? 
a) To educate the public about global affairs
b) To present Russia's actions as defensive rather than aggressive
c) To promote Western cultural values in Russia
d) To discuss economic growth strategies",b,Causal Questions,"'Russia now is like 1984': Inside a Russian dystopian library

Just now Steve Rosenberg , Russia Editor, in Ivanovo Share

BBC Russian propaganda tells people the country is marching on to economic and military success

If the billboards in Ivanovo are to be believed, Russia’s really going places.


Alexandra Karaseva thinks Orwell's novel is now the reality in Russia

It was a local businessman, Dmitry Silin, who opened the library two years ago.
“I’ve met people who are hooked on TV and believe that Russia isn’t at war with Ukraine, and that the West was always out to destroy Russia,” Alexandra says.
From morning till night, the state media here claims that Russia’s war in Ukraine is not an invasion, but a defensive operation; that Russian soldiers are not occupiers, but liberators; that the West is waging war on Russia, when, in reality, it was the Kremlin that ordered the full-scale invasion of Ukraine.
“The situation now in Russia is similar to Nineteen Eighty-Four,” librarian Alexandra Karaseva tells me.",Russio-Ukraine
80,"Where was Masha Gessen accused of spreading false information about military activities? 
a) London 
b) Bucha 
c) Moscow 
d) Kiev",b,Location-based Questions,"US journalist and author Masha Gessen has been convicted in absentia by a Moscow court on charges of spreading false information about the military and was sentenced to eight years in prison.


Russian police put Gessen on a wanted list in December, and Russian media reported the case was based on statements they made about atrocities in the Ukrainian town of Bucha in an interview with a popular Russian online blogger.


Also on Monday, Russian citizen Richard Rose was found guilty of spreading false information about the Russian military in Bucha, OVD-Info said.
Gessen, a dual US-Russian citizen, lived in Russia until 2013, when the country passed legislation against the LGBTQ+ community.


In the interview, which has been viewed more than 6.5m times on YouTube since September 2022, Gessen and blogger Yury Dud discussed atrocities in the Ukrainian town of Bucha earlier that year.

",Russio-Ukraine
81,"Who was found guilty of disseminating false information regarding the Russian military in Bucha? 
a) Masha Gessen
b) Richard Rose
c) Yury Dud
d) Russian police",b,People/Actor-based Questions,"US journalist and author Masha Gessen has been convicted in absentia by a Moscow court on charges of spreading false information about the military and was sentenced to eight years in prison.


Russian police put Gessen on a wanted list in December, and Russian media reported the case was based on statements they made about atrocities in the Ukrainian town of Bucha in an interview with a popular Russian online blogger.


Also on Monday, Russian citizen Richard Rose was found guilty of spreading false information about the Russian military in Bucha, OVD-Info said.
Gessen, a dual US-Russian citizen, lived in Russia until 2013, when the country passed legislation against the LGBTQ+ community.


In the interview, which has been viewed more than 6.5m times on YouTube since September 2022, Gessen and blogger Yury Dud discussed atrocities in the Ukrainian town of Bucha earlier that year.

",Russio-Ukraine
82,"How many years was Masha Gessen sentenced to prison by the Moscow court? 
a) 5 years
b) 6 years
c) 8 years
d) 10 years",C,Quantitative Questions,"US journalist and author Masha Gessen has been convicted in absentia by a Moscow court on charges of spreading false information about the military and was sentenced to eight years in prison.


Russian police put Gessen on a wanted list in December, and Russian media reported the case was based on statements they made about atrocities in the Ukrainian town of Bucha in an interview with a popular Russian online blogger.


Also on Monday, Russian citizen Richard Rose was found guilty of spreading false information about the Russian military in Bucha, OVD-Info said.
Gessen, a dual US-Russian citizen, lived in Russia until 2013, when the country passed legislation against the LGBTQ+ community.


In the interview, which has been viewed more than 6.5m times on YouTube since September 2022, Gessen and blogger Yury Dud discussed atrocities in the Ukrainian town of Bucha earlier that year.

",Russio-Ukraine
83,"Which of the following individuals was sentenced alongside Masha Gessen for spreading false information about the Russian military? 

a) Yury Dud
b) Richard Rose
c) OVD-Info
d) Unknown Russian Blogger",b,People/Actor-based Questions,"US journalist and author Masha Gessen has been convicted in absentia by a Moscow court on charges of spreading false information about the military and was sentenced to eight years in prison.


Russian police put Gessen on a wanted list in December, and Russian media reported the case was based on statements they made about atrocities in the Ukrainian town of Bucha in an interview with a popular Russian online blogger.


Also on Monday, Russian citizen Richard Rose was found guilty of spreading false information about the Russian military in Bucha, OVD-Info said.
Gessen, a dual US-Russian citizen, lived in Russia until 2013, when the country passed legislation against the LGBTQ+ community.


In the interview, which has been viewed more than 6.5m times on YouTube since September 2022, Gessen and blogger Yury Dud discussed atrocities in the Ukrainian town of Bucha earlier that year.

",Russio-Ukraine
84,"What was Vladimir Putin's reaction to the US plans to deploy long-range missiles in Germany? 
a) He planned to hold peace talks with the US.
b) He warned of a potential cold war-style missile crisis.
c) He agreed to collaborate on missile deployment.
d) He discounted any threat and ignored the plans.",b,Event-based Questions,"

Vladimir Putin has warned the US that if Washington deploys long-range missiles in Germany from 2026, Russia will station similar missiles within striking distance of the west.


“This situation is reminiscent of the events of the cold war related to the deployment of American medium-range Pershing missiles in Europe,” Putin said.

skip past newsletter promotion Sign up to First Thing Free daily newsletter Our US morning briefing breaks down the key stories of the day, telling you what’s happening and why it matters Enter your email address Sign up Privacy Notice: Newsletters may contain info about charities, online ads, and content funded by outside parties.
The US’s “episodic deployments” are in preparation for longer-term stationing of such capabilities that will include SM-6, Tomahawk cruise missiles and developmental hypersonic weapons that have a longer range than current capabilities in Europe, Washington and Berlin said.


“We will take mirror measures to deploy, taking into account the actions of the United States, its satellites in Europe and in other regions of the world.”

Putin said the US was stoking tensions and had transferred Typhon missile systems to Denmark and the Philippines, and compared the US plans to the Nato decision to deploy Pershing II launchers in western Europe in 1979.


In a speech on Sunday to sailors from Russia, China, Algeria and India to mark Russian navy day in the former imperial capital of St Petersburg, Putin told the US it risked triggering a cold war-style missile crisis with the move.

",Russio-Ukraine
85,"What action did Vladimir Putin threaten if the US sets up long-range missiles in Germany? 
a) Increase import restrictions 
b) Deploy similar missiles nearby 
c) Reduce diplomatic ties 
d) Sanction German companies",B,Procedural Questions,"

Vladimir Putin has warned the US that if Washington deploys long-range missiles in Germany from 2026, Russia will station similar missiles within striking distance of the west.


“This situation is reminiscent of the events of the cold war related to the deployment of American medium-range Pershing missiles in Europe,” Putin said.

skip past newsletter promotion Sign up to First Thing Free daily newsletter Our US morning briefing breaks down the key stories of the day, telling you what’s happening and why it matters Enter your email address Sign up Privacy Notice: Newsletters may contain info about charities, online ads, and content funded by outside parties.
The US’s “episodic deployments” are in preparation for longer-term stationing of such capabilities that will include SM-6, Tomahawk cruise missiles and developmental hypersonic weapons that have a longer range than current capabilities in Europe, Washington and Berlin said.


“We will take mirror measures to deploy, taking into account the actions of the United States, its satellites in Europe and in other regions of the world.”

Putin said the US was stoking tensions and had transferred Typhon missile systems to Denmark and the Philippines, and compared the US plans to the Nato decision to deploy Pershing II launchers in western Europe in 1979.


In a speech on Sunday to sailors from Russia, China, Algeria and India to mark Russian navy day in the former imperial capital of St Petersburg, Putin told the US it risked triggering a cold war-style missile crisis with the move.

",Russio-Ukraine
86,"What actions is Ilya Yashin focusing on after his release from jail? 
 a) Returning to political office in Russia 
 b) Influencing Russian citizens against the war in Ukraine 
 c) Organizing protests in Berlin 
 d) Advising the Russian government on international relations",b,Event-based Questions,"The Russian opposition politician Ilya Yashin, freed from jail last week as part of the biggest prisoner exchange since the cold war between Moscow and the west, has said turning Russians against the war in Ukraine will be his focus now he is at liberty.


Photograph: Ralf Hirschberger/AFP/Getty Images

Yashin, now 41, was arrested in 2022 over comments he made in one of his regular video streams, in which he discussed Russian atrocities in Bucha, the town outside Kyiv that was occupied during the early weeks of Russia’s full-scale invasion.
“I want to explain to my co-citizens in Russia that this war is a tragedy not just for Ukraine but for Russia too,” Ilya Yashin told the Guardian in an interview in Berlin.
Yashin, who was released to Germany, addressed a rally of over 1,000 supporters in a Berlin park on Wednesday, imploring his fellow exiles – many of whom had left Russia since the full-scale invasion of Ukraine in February 2022 – to try to influence their friends and family who remained inside the country.


Yashin said that during his two years of imprisonment, he met about 30 men who were planning to take advantage of Russia’s offer to prisoners to be released in order to go and fight in Ukraine, and he had attempted to talk them out of it.

",Russio-Ukraine
87,"Which city did Ilya Yashin address a rally in, after being released from jail? 
a) Moscow 
b) Berlin 
c) Kyiv 
d) Bucha",b,Location-based Questions,"The Russian opposition politician Ilya Yashin, freed from jail last week as part of the biggest prisoner exchange since the cold war between Moscow and the west, has said turning Russians against the war in Ukraine will be his focus now he is at liberty.


Photograph: Ralf Hirschberger/AFP/Getty Images

Yashin, now 41, was arrested in 2022 over comments he made in one of his regular video streams, in which he discussed Russian atrocities in Bucha, the town outside Kyiv that was occupied during the early weeks of Russia’s full-scale invasion.
“I want to explain to my co-citizens in Russia that this war is a tragedy not just for Ukraine but for Russia too,” Ilya Yashin told the Guardian in an interview in Berlin.
Yashin, who was released to Germany, addressed a rally of over 1,000 supporters in a Berlin park on Wednesday, imploring his fellow exiles – many of whom had left Russia since the full-scale invasion of Ukraine in February 2022 – to try to influence their friends and family who remained inside the country.


Yashin said that during his two years of imprisonment, he met about 30 men who were planning to take advantage of Russia’s offer to prisoners to be released in order to go and fight in Ukraine, and he had attempted to talk them out of it.

",Russio-Ukraine
88,"When was Ilya Yashin arrested for discussing Russian actions in Bucha? 
a) 2023
b) 2021
c) 2022
d) 2019",C,Temporal Questions,"The Russian opposition politician Ilya Yashin, freed from jail last week as part of the biggest prisoner exchange since the cold war between Moscow and the west, has said turning Russians against the war in Ukraine will be his focus now he is at liberty.


Photograph: Ralf Hirschberger/AFP/Getty Images

Yashin, now 41, was arrested in 2022 over comments he made in one of his regular video streams, in which he discussed Russian atrocities in Bucha, the town outside Kyiv that was occupied during the early weeks of Russia’s full-scale invasion.
“I want to explain to my co-citizens in Russia that this war is a tragedy not just for Ukraine but for Russia too,” Ilya Yashin told the Guardian in an interview in Berlin.
Yashin, who was released to Germany, addressed a rally of over 1,000 supporters in a Berlin park on Wednesday, imploring his fellow exiles – many of whom had left Russia since the full-scale invasion of Ukraine in February 2022 – to try to influence their friends and family who remained inside the country.


Yashin said that during his two years of imprisonment, he met about 30 men who were planning to take advantage of Russia’s offer to prisoners to be released in order to go and fight in Ukraine, and he had attempted to talk them out of it.

",Russio-Ukraine
